#812 - Credit/Debit Adjustment
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status
DTM,,1,no,no,e04,Time Code,2,2,-,O
DTM,,1,no,no,e05,Date Time Period Format Qualifier,2,3,-,X
DTM,,1,no,no,e06,Date Time Period,1,35,-,X
FOB,,1,no,yes,landmark,F.O.B. Related Instructions,3,3,-,O
FOB,,1,no,no,e01,Shipment Method of Payment,2,2,-,M/Z
FOB,,1,no,no,e02,Location Qualifier,1,2,-,X/Z
FOB,,1,no,no,e03,Description,1,80,-,O
FOB,,1,no,no,e04,Transportation Terms Qualifier Code,2,2,-,O
FOB,,1,no,no,e05,Transportation Terms Code,3,3,-,X
FOB,,1,no,no,e06,Location Qualifier,1,2,-,X/Z
FOB,,1,no,no,e07,Description,1,80,-,O
FOB,,1,no,no,e08,Risk of Loss Code,2,2,-,O/Z
FOB,,1,no,no,e09,Description,1,80,-,X
SHD,,99999,no,yes,landmark,Shipment Detail,3,3,-,O
SHD,,1,no,no,e01,Number of Units Shipped,1,10,-,X
SHD,,1,no,no,e02,Quantity Received,1,7,-,X
SHD,,1,no,no,e03,Unit or Basis for Measurement Code,2,2,-,X
SHD,,1,no,no,e04,Weight,1,10,-,X
SHD,,1,no,no,e05,Unit or Basis for Measurement Code,2,2,-,X
SHD,,1,no,no,e06,Volume,1,8,-,X
SHD,,1,no,no,e07,Unit or Basis for Measurement Code,2,2,-,X
SHD,,1,no,no,e08,Order Sizing Factor,1,10,-,O
SHD,,1,no,no,e09,Price Bracket Identifier,1,3,-,O
SHD,,1,no,no,e10,Transportation Method/Type Code,1,2,-,O
SHD,,1,no,no,e11,Standard Carrier Alpha Code,2,4,-,O
SHD,,1,no,no,e12,Shipment/Order Status Code,2,2,-,O
SHD,,1,no,no,e13,Reference Identification Qualifier,2,3,-,O
SHD,,1,no,no,e14,Reference Identification,1,50,-,X
SAC,,25,no,yes,landmark,Service, Promotion, Allowance, or Charge Information,3,3,-,O
SAC,,1,no,no,e01,Allowance or Charge Indicator,1,1,-,M/Z
SAC,,1,no,no,e02,Service, Promotion, Allowance, or Charge Code,4,4,-,X
SAC,,1,no,no,e03,Agency Qualifier Code,2,2,-,X
SAC,,1,no,no,e04,Agency Service, Promotion, Allowance, or Charge Code,1,10,-,X
SAC,,1,no,no,e05,Amount,1,15,-,O/Z
SAC,,1,no,no,e06,Allowance/Charge Percent Qualifier,1,1,-,X
SAC,,1,no,no,e07,Percent, Decimal Format,1,6,-,X
SAC,,1,no,no,e08,Rate,1,9,-,O/Z
SAC,,1,no,no,e09,Unit or Basis for Measurement Code,2,2,-,X
SAC,,1,no,no,e10,Quantity,1,15,-,X/Z
SAC,,1,no,no,e11,Quantity,1,15,-,O
SAC,,1,no,no,e12,Allowance or Charge Method of Handling Code,2,2,-,O
SAC,,1,no,no,e13,Reference Identification,1,50,-,X/Z
SAC,,1,no,no,e14,Option Number,1,20,-,O/Z
SAC,,1,no,no,e15,Description,1,80,-,X
SAC,,1,no,no,e16,Language Code,2,3,-,O/Z
N1,,200,yes,yes,landmark,Party Identification,2,2,-,M
N1,,1,no,no,e01,Entity Identifier Code,2,3,-,M
N1,,1,no,no,e02,Name,1,60,-,X
N1,,1,no,no,e03,Identification Code Qualifier,1,2,-,X
N1,,1,no,no,e04,Identification Code,2,80,-,X
N1,,1,no,no,e05,Entity Relationship Code,2,2,-,O
N1,,1,no,no,e06,Entity Identifier Code,2,3,-,O
N2,N1,2,no,yes,landmark,Additional Name Information,2,2,-,O
N2,N1,1,no,no,e01,Name,1,60,-,M
N2,N1,1,no,no,e02,Name,1,60,-,O
N3,N1,2,no,yes,landmark,Party Location,2,2,-,O
N3,N1,1,no,no,e01,Address Information,1,55,-,M
N3,N1,1,no,no,e02,Address Information,1,55,-,O
N4,N1,1,no,yes,landmark,Geographic Location,2,2,-,O
N4,N1,1,no,no,e01,City Name,2,30,-,O
N4,N1,1,no,no,e02,State or Province Code,2,2,-,X
N4,N1,1,no,no,e03,Postal Code,3,15,-,O
N4,N1,1,no,no,e04,Country Code,2,3,-,X
N4,N1,1,no,no,e05,Location Qualifier,1,2,-,X
N4,N1,1,no,no,e06,Location Identifier,1,30,-,O
N4,N1,1,no,no,e07,Country Subdivision Code,1,3,-,X
N9,N1,12,no,yes,landmark,Extended Reference Information,2,2,-,O
N9,N1,1,no,no,e01,Reference Identification Qualifier,2,3,-,M
N9,N1,1,no,no,e02,Reference Identification,1,50,-,X
N9,N1,1,no,no,e03,Free-form Description,1,45,-,X
N9,N1,1,no,no,e04,Date,8,8,-,O
N9,N1,1,no,no,e05,Time,4,8,-,X
N9,N1,1,no,no,e06,Time Code,2,2,-,O/Z
PER,N1,3,no,yes,landmark,Administrative Communications Contact,3,3,-,O
PER,N1,1,no,no,e01,Contact Function Code,2,2,-,M
PER,N1,1,no,no,e02,Name,1,60,-,O
PER,N1,1,no,no,e03,Communication Number Qualifier,2,2,-,X
PER,N1,1,no,no,e04,Communication Number,1,256,-,X
PER,N1,1,no,no,e05,Communication Number Qualifier,2,2,-,X
PER,N1,1,no,no,e06,Communication Number,1,256,-,X
PER,N1,1,no,no,e07,Communication Number Qualifier,2,2,-,X
PER,N1,1,no,no,e08,Communication Number,1,256,-,X
PER,N1,1,no,no,e09,Contact Inquiry Reference,1,20,-,O
AMT,N1,10,no,yes,landmark,Monetary Amount Information,3,3,-,O
AMT,N1,1,no,no,e01,Amount Qualifier Code,1,3,-,M
AMT,N1,1,no,no,e02,Monetary Amount,1,18,-,M
AMT,N1,1,no,no,e03,Credit/Debit Flag Code,1,1,-,O
N1,,,,,groupend,,,,,
LM,,10,yes,yes,landmark,Code Source Information,2,2,-,O
LM,,1,no,no,e01,Agency Qualifier Code,2,2,-,M
LM,,1,no,no,e02,Source Subqualifier,1,15,-,O
LQ,LM,100,no,yes,landmark,Industry Code Identification,2,2,-,M
LQ,LM,1,no,no,e01,Code List Qualifier Code,1,3,-,O
LQ,LM,1,no,no,e02,Industry Code,1,30,-,X
LM,,,,,groupend,,,,,
FA1,,99999,yes,yes,landmark,Type of Financial Accounting Data,3,3,-,O
FA1,,1,no,no,e01,Agency Qualifier Code,2,2,-,M/Z
FA1,,1,no,no,e02,Service, Promotion, Allowance, or Charge Code,4,4,-,O/Z
FA1,,1,no,no,e03,Allowance or Charge Indicator,1,1,-,O
FA2,FA1,99999,no,yes,landmark,Accounting Data,3,3,-,M
FA2,FA1,1,no,no,e01,Breakdown Structure Detail Code,2,2,-,M
FA2,FA1,1,no,no,e02,Financial Information Code,1,80,-,M
FA1,,,,,groupend,,,,,
CDD,,99999,yes,yes,landmark,Credit/Debit Adjustment Detail,3,3,-,O
CDD,,1,no,no,e01,Adjustment Reason Code,2,2,-,M
CDD,,1,no,no,e02,Credit/Debit Flag Code,1,1,-,M
CDD,,1,no,no,e03,Assigned Identification,1,20,-,O
CDD,,1,no,no,e04,Amount,1,15,-,X
CDD,,1,no,no,e05,Yes/No Condition or Response Code,1,1,-,O/Z
CDD,,1,no,no,e06,Price Bracket Identifier,1,3,-,O
CDD,,1,no,no,e07,Credit/Debit Quantity,1,10,-,X
CDD,,1,no,no,e08,Unit or Basis for Measurement Code,2,2,-,X
CDD,,1,no,no,e09,Unit Price Difference,1,15,-,O
CDD,,1,no,no,e10,Price Identifier Code,3,3,-,X
CDD,,1,no,no,e11,Unit Price,1,17,-,X
CDD,,1,no,no,e12,Price Identifier Code,3,3,-,X
CDD,,1,no,no,e13,Unit Price,1,17,-,X
CDD,,1,no,no,e14,Free-form Message Text,1,264,-,O/Z
LIN,CDD,1,no,yes,landmark,Item Identification,3,3,-,O
LIN,CDD,1,no,no,e01,Assigned Identification,1,20,-,O/Z
LIN,CDD,1,no,no,e02,Product/Service ID Qualifier,2,2,-,M
LIN,CDD,1,no,no,e03,Product/Service ID,1,48,-,M
LIN,CDD,1,no,no,e04,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e05,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e06,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e07,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e08,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e09,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e10,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e11,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e12,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e13,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e14,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e15,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e16,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e17,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e18,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e19,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e20,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e21,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e22,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e23,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e24,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e25,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e26,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e27,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e28,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e29,Product/Service ID,1,48,-,X
LIN,CDD,1,no,no,e30,Product/Service ID Qualifier,2,2,-,X
LIN,CDD,1,no,no,e31,Product/Service ID,1,48,-,X
PO4,CDD,1,no,yes,landmark,Item Physical Details,3,3,-,O
PO4,CDD,1,no,no,e01,Pack,1,6,-,O
PO4,CDD,1,no,no,e02,Size,1,8,-,X
PO4,CDD,1,no,no,e03,Unit or Basis for Measurement Code,2,2,-,X
PO4,CDD,1,no,no,e04,Packaging Code,3,5,-,X
PO4,CDD,1,no,no,e05,Weight Qualifier,1,2,-,O
PO4,CDD,1,no,no,e06,Gross Weight per Pack,1,9,-,X
PO4,CDD,1,no,no,e07,Unit or Basis for Measurement Code,2,2,-,X
PO4,CDD,1,no,no,e08,Gross Volume per Pack,1,9,-,X
PO4,CDD,1,no,no,e09,Unit or Basis for Measurement Code,2,2,-,X
PO4,CDD,1,no,no,e10,Length,1,8,-,X
PO4,CDD,1,no,no,e11,Width,1,8,-,X
PO4,CDD,1,no,no,e12,Height,1,8,-,X
PO4,CDD,1,no,no,e13,Unit or Basis for Measurement Code,2,2,-,X
PO4,CDD,1,no,no,e14,Inner Pack,1,6,-,O
PO4,CDD,1,no,no,e15,Surface/Layer/Position Code,2,2,-,O/Z
PO4,CDD,1,no,no,e16,Assigned Identification,1,20,-,X/Z
PO4,CDD,1,no,no,e17,Assigned Identification,1,20,-,O/Z
PO4,CDD,1,no,no,e18,Number,1,9,-,O/Z
N9,CDD,99999,no,yes,landmark,Extended Reference Information,2,2,-,O
N9,CDD,1,no,no,e01,Reference Identification Qualifier,2,3,-,M
N9,CDD,1,no,no,e02,Reference Identification,1,50,-,X
N9,CDD,1,no,no,e03,Free-form Description,1,45,-,X
N9,CDD,1,no,no,e04,Date,8,8,-,O
N9,CDD,1,no,no,e05,Time,4,8,-,X
N9,CDD,1,no,no,e06,Time Code,2,2,-,O/Z
DTM,CDD,5,no,yes,landmark,Date/Time Reference,3,3,-,O
DTM,CDD,1,no,no,e01,Date/Time Qualifier,3,3,-,M
DTM,CDD,1,no,no,e02,Date,8,8,-,X
DTM,CDD,1,no,no,e03,Time,4,8,-,X
DTM,CDD,1,no,no,e04,Time Code,2,2,-,O
DTM,CDD,1,no,no,e05,Date Time Period Format Qualifier,2,3,-,X
DTM,CDD,1,no,no,e06,Date Time Period,1,35,-,X
SAC,CDD,25,yes,yes,landmark,Service, Promotion, Allowance, or Charge Information,3,3,-,O
SAC,CDD,1,no,no,e01,Allowance or Charge Indicator,1,1,-,M/Z
SAC,CDD,1,no,no,e02,Service, Promotion, Allowance, or Charge Code,4,4,-,X
SAC,CDD,1,no,no,e03,Agency Qualifier Code,2,2,-,X
SAC,CDD,1,no,no,e04,Agency Service, Promotion, Allowance, or Charge Code,1,10,-,X
SAC,CDD,1,no,no,e05,Amount,1,15,-,O/Z
SAC,CDD,1,no,no,e06,Allowance/Charge Percent Qualifier,1,1,-,X
SAC,CDD,1,no,no,e07,Percent, Decimal Format,1,6,-,X
SAC,CDD,1,no,no,e08,Rate,1,9,-,O/Z
SAC,CDD,1,no,no,e09,Unit or Basis for Measurement Code,2,2,-,X
SAC,CDD,1,no,no,e10,Quantity,1,15,-,X/Z
SAC,CDD,1,no,no,e11,Quantity,1,15,-,O
SAC,CDD,1,no,no,e12,Allowance or Charge Method of Handling Code,2,2,-,O
SAC,CDD,1,no,no,e13,Reference Identification,1,50,-,X/Z
SAC,CDD,1,no,no,e14,Option Number,1,20,-,O/Z
SAC,CDD,1,no,no,e15,Description,1,80,-,X
SAC,CDD,1,no,no,e16,Language Code,2,3,-,O/Z
DTM,CDD:SAC,5,no,yes,landmark,Date/Time Reference,3,3,-,O
DTM,CDD:SAC,1,no,no,e01,Date/Time Qualifier,3,3,-,M
DTM,CDD:SAC,1,no,no,e02,Date,8,8,-,X
DTM,CDD:SAC,1,no,no,e03,Time,4,8,-,X
DTM,CDD:SAC,1,no,no,e04,Time Code,2,2,-,O
DTM,CDD:SAC,1,no,no,e05,Date Time Period Format Qualifier,2,3,-,X
DTM,CDD:SAC,1,no,no,e06,Date Time Period,1,35,-,X
SAC,,,,,groupend,,,,,
LM,CDD,10,yes,yes,landmark,Code Source Information,2,2,-,O
LM,CDD,1,no,no,e01,Agency Qualifier Code,2,2,-,M
LM,CDD,1,no,no,e02,Source Subqualifier,1,15,-,O
LQ,CDD:LM,100,no,yes,landmark,Industry Code Identification,2,2,-,M
LQ,CDD:LM,1,no,no,e01,Code List Qualifier Code,1,3,-,O
LQ,CDD:LM,1,no,no,e02,Industry Code,1,30,-,X
LM,,,,,groupend,,,,,
N11,CDD,99999,yes,yes,landmark,Store Location,3,3,-,O
N11,CDD,1,no,no,e01,Store Number,1,10,-,M
N11,CDD,1,no,no,e02,Location Identifier,1,30,-,O/Z
N11,CDD,1,no,no,e03,Reference Identification,1,50,-,O/Z
AMT,CDD:N11,10,no,yes,landmark,Monetary Amount Information,3,3,-,O
AMT,CDD:N11,1,no,no,e01,Amount Qualifier Code,1,3,-,M
AMT,CDD:N11,1,no,no,e02,Monetary Amount,1,18,-,M
AMT,CDD:N11,1,no,no,e03,Credit/Debit Flag Code,1,1,-,O
PCT,CDD:N11,2,no,yes,landmark,Percent Amounts,3,3,-,O
PCT,CDD:N11,1,no,no,e01,Percent Qualifier,1,2,-,M
PCT,CDD:N11,1,no,no,e02,Percentage as Decimal,1,10,-,M
N1,CDD:N11,99999,yes,yes,landmark,Party Identification,2,2,-,O
N1,CDD:N11,1,no,no,e01,Entity Identifier Code,2,3,-,M
N1,CDD:N11,1,no,no,e02,Name,1,60,-,X
N1,CDD:N11,1,no,no,e03,Identification Code Qualifier,1,2,-,X
N1,CDD:N11,1,no,no,e04,Identification Code,2,80,-,X
N1,CDD:N11,1,no,no,e05,Entity Relationship Code,2,2,-,O
N1,CDD:N11,1,no,no,e06,Entity Identifier Code,2,3,-,O
AMT,CDD:N11:N1,10,no,yes,landmark,Monetary Amount Information,3,3,-,O
AMT,CDD:N11:N1,1,no,no,e01,Amount Qualifier Code,1,3,-,M
AMT,CDD:N11:N1,1,no,no,e02,Monetary Amount,1,18,-,M
AMT,CDD:N11:N1,1,no,no,e03,Credit/Debit Flag Code,1,1,-,O
PCT,CDD:N11:N1,2,no,yes,landmark,Percent Amounts,3,3,-,O
PCT,CDD:N11:N1,1,no,no,e01,Percent Qualifier,1,2,-,M
PCT,CDD:N11:N1,1,no,no,e02,Percentage as Decimal,1,10,-,M
N1,,,,,groupend,,,,,
N11,,,,,groupend,,,,,
FA1,CDD,99999,yes,yes,landmark,Type of Financial Accounting Data,3,3,-,O
FA1,CDD,1,no,no,e01,Agency Qualifier Code,2,2,-,M/Z
FA1,CDD,1,no,no,e02,Service, Promotion, Allowance, or Charge Code,4,4,-,O/Z
FA1,CDD,1,no,no,e03,Allowance or Charge Indicator,1,1,-,O
FA2,CDD:FA1,99999,no,yes,landmark,Accounting Data,3,3,-,M
FA2,CDD:FA1,1,no,no,e01,Breakdown Structure Detail Code,2,2,-,M
FA2,CDD:FA1,1,no,no,e02,Financial Information Code,1,80,-,M
FA1,,,,,groupend,,,,,
CDD,,,,,groupend,,,,,
SE,,1,no,yes,landmark,Transaction Set Trailer,2,2,-,M
SE,,1,no,no,e01,Number of Included Segments,1,10,-,M
SE,,1,no,no,e02,Transaction Set Control Number,4,9,-,M
