#944 - Warehouse Stock Transfer Receipt Advice
#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align,status
W18,,1,no,no,e03,Unit or Basis for Measurement Code,2,2,-,O
G08,,2,no,yes,landmark,Pallet Receipt Disposition,3,3,-,O
G08,,1,no,no,e01,Quantity of Pallets Received,1,3,-,O
G08,,1,no,no,e02,Quantity of Pallets Returned,1,3,-,O
G08,,1,no,no,e03,Quantity Contested,1,7,-,X
G08,,1,no,no,e04,Receiving Condition Code,2,2,-,X
TD1,,5,no,yes,landmark,Carrier Details (Quantity and Weight),3,3,-,O
TD1,,1,no,no,e01,Packaging Code,3,5,-,O
TD1,,1,no,no,e02,Lading Quantity,1,7,-,X
TD1,,1,no,no,e03,Commodity Code Qualifier,1,1,-,O
TD1,,1,no,no,e04,Commodity Code,1,30,-,X
TD1,,1,no,no,e05,Lading Description,1,50,-,O
TD1,,1,no,no,e06,Weight Qualifier,1,2,-,O
TD1,,1,no,no,e07,Weight,1,10,-,X
TD1,,1,no,no,e08,Unit or Basis for Measurement Code,2,2,-,X
TD1,,1,no,no,e09,Volume,1,8,-,X
TD1,,1,no,no,e10,Unit or Basis for Measurement Code,2,2,-,X
LX,,99999,yes,yes,landmark,Transaction Set Line Number,2,2,-,M
LX,,1,no,no,e01,Assigned Number,1,6,-,M
MAN,LX,1,no,yes,landmark,Marks and Numbers Information,3,3,-,O
MAN,LX,1,no,no,e01,Marks and Numbers Qualifier,1,2,-,M/Z
MAN,LX,1,no,no,e02,Marks and Numbers,1,48,-,M/Z
MAN,LX,1,no,no,e03,Marks and Numbers,1,48,-,O
MAN,LX,1,no,no,e04,Marks and Numbers Qualifier,1,2,-,X
MAN,LX,1,no,no,e05,Marks and Numbers,1,48,-,X/Z
MAN,LX,1,no,no,e06,Marks and Numbers,1,48,-,O
PAL,LX,99999,no,yes,landmark,Pallet Type and Load Characteristics,3,3,-,O
PAL,LX,1,no,no,e01,Pallet Type Code,1,2,-,O
PAL,LX,1,no,no,e02,Pallet Tiers,1,3,-,O
PAL,LX,1,no,no,e03,Pallet Blocks,1,3,-,O
PAL,LX,1,no,no,e04,Pack,1,6,-,O/Z
PAL,LX,1,no,no,e05,Unit Weight,1,8,-,X/Z
PAL,LX,1,no,no,e06,Unit or Basis for Measurement Code,2,2,-,X
PAL,LX,1,no,no,e07,Length,1,8,-,X/Z
PAL,LX,1,no,no,e08,Width,1,8,-,X
PAL,LX,1,no,no,e09,Height,1,8,-,X/Z
PAL,LX,1,no,no,e10,Unit or Basis for Measurement Code,2,2,-,X
PAL,LX,1,no,no,e11,Gross Weight per Pack,1,9,-,X/Z
PAL,LX,1,no,no,e12,Unit or Basis for Measurement Code,2,2,-,X
PAL,LX,1,no,no,e13,Gross Volume per Pack,1,9,-,X
PAL,LX,1,no,no,e14,Unit or Basis for Measurement Code,2,2,-,X
PAL,LX,1,no,no,e15,Pallet Exchange Code,1,1,-,O
PAL,LX,1,no,no,e16,Inner Pack,1,6,-,O
PAL,LX,1,no,no,e17,Pallet Structure Code,1,1,-,O
N9,LX,5,no,yes,landmark,Extended Reference Information,2,2,-,O
N9,LX,1,no,no,e01,Reference Identification Qualifier,2,3,-,M
N9,LX,1,no,no,e02,Reference Identification,1,50,-,X
N9,LX,1,no,no,e03,Free-form Description,1,45,-,X
N9,LX,1,no,no,e04,Date,8,8,-,O
N9,LX,1,no,no,e05,Time,4,8,-,X
N9,LX,1,no,no,e06,Time Code,2,2,-,O/Z
W07,LX,9999,yes,yes,landmark,Item Detail For Stock Receipt,3,3,-,O
W07,LX,1,no,no,e01,Quantity Received,1,7,-,M
W07,LX,1,no,no,e02,Unit or Basis for Measurement Code,2,2,-,M
W07,LX,1,no,no,e03,U.P.C. Case Code,12,12,-,X
W07,LX,1,no,no,e04,Product/Service ID Qualifier,2,2,-,X
W07,LX,1,no,no,e05,Product/Service ID,1,48,-,X
W07,LX,1,no,no,e06,Product/Service ID Qualifier,2,2,-,X
W07,LX,1,no,no,e07,Product/Service ID,1,48,-,X
W07,LX,1,no,no,e08,Warehouse Lot Number,1,12,-,O
W07,LX,1,no,no,e09,Warehouse Detail Adjustment Identifier,1,1,-,O
W07,LX,1,no,no,e10,Product/Service ID Qualifier,2,2,-,X
W07,LX,1,no,no,e11,Product/Service ID,1,48,-,X
G69,LX:W07,5,no,yes,landmark,Line Item Detail - Description,3,3,-,O
G69,LX:W07,1,no,no,e01,Free-form Description,1,45,-,M
N9,LX:W07,200,no,yes,landmark,Extended Reference Information,2,2,-,O
N9,LX:W07,1,no,no,e01,Reference Identification Qualifier,2,3,-,M
N9,LX:W07,1,no,no,e02,Reference Identification,1,50,-,X
N9,LX:W07,1,no,no,e03,Free-form Description,1,45,-,X
N9,LX:W07,1,no,no,e04,Date,8,8,-,O
N9,LX:W07,1,no,no,e05,Time,4,8,-,X
N9,LX:W07,1,no,no,e06,Time Code,2,2,-,O/Z
W20,LX:W07,2,no,yes,landmark,Line Item Detail - Packing,3,3,-,O
W20,LX:W07,1,no,no,e01,Pack,1,6,-,O
W20,LX:W07,1,no,no,e02,Size,1,8,-,X
W20,LX:W07,1,no,no,e03,Unit or Basis for Measurement Code,2,2,-,X
W20,LX:W07,1,no,no,e04,Weight,1,10,-,X
W20,LX:W07,1,no,no,e05,Weight Qualifier,1,2,-,X
W20,LX:W07,1,no,no,e06,Weight Unit Code,1,1,-,X
W20,LX:W07,1,no,no,e07,Unit Weight,1,8,-,O
W20,LX:W07,1,no,no,e08,Volume,1,8,-,X
W20,LX:W07,1,no,no,e09,Unit or Basis for Measurement Code,2,2,-,X
W20,LX:W07,1,no,no,e10,Color,1,10,-,O
W13,LX:W07,50,yes,yes,landmark,Item Detail Exception,3,3,-,O
W13,LX:W07,1,no,no,e01,Quantity,1,15,-,M
W13,LX:W07,1,no,no,e02,Unit or Basis for Measurement Code,2,2,-,M
W13,LX:W07,1,no,no,e03,Receiving Condition Code,2,2,-,M
W13,LX:W07,1,no,no,e04,Warehouse Lot Number,1,12,-,O
W13,LX:W07,1,no,no,e05,Damage Reason Code,2,2,-,O/Z
N9,LX:W07:W13,200,no,yes,landmark,Extended Reference Information,2,2,-,O
N9,LX:W07:W13,1,no,no,e01,Reference Identification Qualifier,2,3,-,M
N9,LX:W07:W13,1,no,no,e02,Reference Identification,1,50,-,X
N9,LX:W07:W13,1,no,no,e03,Free-form Description,1,45,-,X
N9,LX:W07:W13,1,no,no,e04,Date,8,8,-,O
N9,LX:W07:W13,1,no,no,e05,Time,4,8,-,X
N9,LX:W07:W13,1,no,no,e06,Time Code,2,2,-,O/Z
W13,,,,,groupend,,,,,
W07,,,,,groupend,,,,,
LX,,,,,groupend,,,,,
W14,,1,no,yes,landmark,Total Receipt Information,3,3,-,M
W14,,1,no,no,e01,Quantity Received,1,7,-,M
W14,,1,no,no,e02,Number of Units Shipped,1,10,-,O
W14,,1,no,no,e03,Quantity Damaged/On Hold,1,9,-,O
W14,,1,no,no,e04,Lading Quantity Received,1,7,-,O
W14,,1,no,no,e05,Lading Quantity,1,7,-,O
SE,,1,no,yes,landmark,Transaction Set Trailer,2,2,-,M
SE,,1,no,no,e01,Number of Included Segments,1,10,-,M
SE,,1,no,no,e02,Transaction Set Control Number,4,9,-,M
