#segment,parent,loopcount,isgroup,islandmark,field,desc,min,max,align
E2EDK04,,1,no,no,MWSBT,Value added tax amount,18,18,-
E2EDK04,,1,no,no,TXJCD,Tax Jurisdiction,15,15,-
E2EDK04,,1,no,no,KTEXT,KTEXT Text Field,50,50,-
E2EDK17,,1,no,yes,landmark,landmark,7,7,-
E2EDK17,,1,no,no,segnam,Segment,23,23,-
E2EDK17,,1,no,no,mandt,Client,3,3,-
E2EDK17,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK17,,1,no,no,segnum,Segment Number,6,6,-
E2EDK17,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK17,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK17,,1,no,no,QUALF,IDOC qualifier: Terms of delivery,3,3,-
E2EDK17,,1,no,no,LKOND,IDOC delivery condition code,3,3,-
E2EDK17,,1,no,no,LKTEXT,LKTEXT IDOC delivery condition text,70,70,-
E2EDK18,,1,no,yes,landmark,landmark,7,7,-
E2EDK18,,1,no,no,segnam,Segment,23,23,-
E2EDK18,,1,no,no,mandt,Client,3,3,-
E2EDK18,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK18,,1,no,no,segnum,Segment Number,6,6,-
E2EDK18,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK18,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK18,,1,no,no,QUALF,IDOC qualifier: Terms of payment,3,3,-
E2EDK18,,1,no,no,TAGE,IDOC Number of days,8,8,-
E2EDK18,,1,no,no,PRZNT,IDOC percentage for terms of payment,8,8,-
E2EDK18,,1,no,no,ZTERM_TXT,Text line,70,70,-
E2EDK23,,1,no,yes,landmark,landmark,7,7,-
E2EDK23,,1,no,no,segnam,Segment,23,23,-
E2EDK23,,1,no,no,mandt,Client,3,3,-
E2EDK23,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK23,,1,no,no,segnum,Segment Number,6,6,-
E2EDK23,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK23,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK23,,1,no,no,QUALF,Qualifier currency,3,3,-
E2EDK23,,1,no,no,WAERZ,Three-digit character field for IDocs,3,3,-
E2EDK23,,1,no,no,WAERQ,Three-digit character field for IDocs,3,3,-
E2EDK23,,1,no,no,KURS,Character Field of Length 12,12,12,-
E2EDK23,,1,no,no,DATUM,IDOC: Date,8,8,-
E2EDK23,,1,no,no,ZEIT,IDOC: Time,6,6,-
E2EDK23,,1,no,no,KURS_M,Indirectly quoted exchange rate in an IDoc segment,12,12,-
E2EDK28,,1,no,yes,landmark,landmark,7,7,-
E2EDK28,,1,no,no,segnam,Segment,23,23,-
E2EDK28,,1,no,no,mandt,Client,3,3,-
E2EDK28,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK28,,1,no,no,segnum,Segment Number,6,6,-
E2EDK28,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK28,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK28,,1,no,no,BCOUN,Country Key,3,3,-
E2EDK28,,1,no,no,BRNUM,Bank Key,17,17,-
E2EDK28,,1,no,no,Bank,Bank name,70,70,-
E2EDK28,,1,no,no,BALOC,Location of bank,70,70,-
E2EDK28,,1,no,no,ACNUM,Account number in bank data,30,30,-
E2EDK28,,1,no,no,ACNAM,Account holder in bank data,35,35,-
E2EDK29,,1,no,yes,landmark,landmark,7,7,-
E2EDK29,,1,no,no,segnam,Segment,23,23,-
E2EDK29,,1,no,no,mandt,Client,3,3,-
E2EDK29,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK29,,1,no,no,segnum,Segment Number,6,6,-
E2EDK29,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK29,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK29,,1,no,no,EXNUM,Number of foreign trade data in MM and SD documents,10,10,-
E2EDK29,,1,no,no,ALAND,Departure country (country from which the goods are sent),3,3,-
E2EDK29,,1,no,no,EXPVZ,Mode of Transport for Foreign Trade,1,1,-
E2EDK29,,1,no,no,ZOLLA,Customs Office: Office of Exit/Entry for Foreign Trade,6,6,-
E2EDK29,,1,no,no,ZOLLB,Customs office: Office of destination for foreign trade,6,6,-
E2EDK29,,1,no,no,ZOLL1,Customs office: Customs office 1 for foreign trade,6,6,-
E2EDK29,,1,no,no,ZOLL2,Customs office: Customs office 2 for foreign trade,6,6,-
E2EDK29,,1,no,no,ZOLL3,Customs office: Customs office 3 for foreign trade,6,6,-
E2EDK29,,1,no,no,ZOLL4,Customs office: Customs office 4 for foreign trade,6,6,-
E2EDK29,,1,no,no,ZOLL5,Customs office: Customs office 5 for foreign trade,6,6,-
E2EDK29,,1,no,no,ZOLL6,Customs office: Customs office 6 for foreign trade,6,6,-
E2EDK29,,1,no,no,KZGBE,Indicator for means of transport crossing the border,30,30,-
E2EDK29,,1,no,no,KZABE,Indicator for the means of transport at departure,30,30,-
E2EDK29,,1,no,no,STGBE,Origin of Means of Transport when Crossing the Border,3,3,-
E2EDK29,,1,no,no,STABE,Country of Origin of the Means of Transport at Departure,3,3,-
E2EDK29,,1,no,no,CONTA,ID: Goods cross border in a container,1,1,-
E2EDK29,,1,no,no,GRWCU,Currency of statistical values for foreign trade,5,5,-
E2EDK29,,1,no,no,GRWRT,Total value of sum segment,18,18,-
E2EDK29,,1,no,no,LAND1,Country Key,3,3,-
E2EDK29,,1,no,no,Country,Country Name,15,15,-
E2EDK29,,1,no,no,LANDA,Alternative Country Key,3,3,-
E2EDK29,,1,no,no,XEGLD,Indicator: European Union Member?,1,1,-
E2EDK29,,1,no,no,FREIH,Indicator: Free Trade Area for Legal Control,1,1,-
E2EDK29,,1,no,no,EWRCO,ID: European Economic Area (rel. for export control),1,1,-
E2EDK29,,1,no,no,USC05,USA: Five-Digit Country Code (SED: Schedule C Code),5,5,-
E2EDK29,,1,no,no,JAP05,Japan: Five digit country code (MITI customs declaration),5,5,-
E2EDK29,,1,no,no,ALANX,Country of dispatch - Description,15,15,-
E2EDK29,,1,no,no,ALANA,Alternative country key for country of dispatch/export,3,3,-
E2EDK29,,1,no,no,LASTA,Alt. key to nationality of means of transport (departarture),3,3,-
E2EDK29,,1,no,no,LASTG,Alt. key for nationality of means of transport at border,3,3,-
E2EDK29,,1,no,no,ALSCH,Alternative country key for sold-to party,3,3,-
E2EDK29,,1,no,no,ALSRE,Currency code by country directory,5,5,-
E2EDK29,,1,no,no,LADEO,Place of loading,15,15,-
E2EDK29,,1,no,no,IEVER,Domestic Mode of Transport for Foreign Trade,1,1,-
E2EDK29,,1,no,no,BANR01,FT-EDI: Declarations to the authorities - ID no. 01,16,16,-
E2EDK29,,1,no,no,BANR02,FT-EDI: Declarations to the authorities: ID no.,3,3,-
E2EDK29,,1,no,no,BANR03,Customs number of exporter,7,7,-
E2EDK29,,1,no,no,BANR04,Customs number of exporter,7,7,-
E2EDK29,,1,no,no,BANR05,Customs number of exporter,7,7,-
E2EDK29,,1,no,no,BANR06,Customs number of exporter,7,7,-
E2EDK29,,1,no,no,BANR07,Customs number of exporter,7,7,-
E2EDK29,,1,no,no,BANR08,Customs number of exporter,7,7,-
E2EDK29,,1,no,no,BANR09,FT-EDI: Declarations to the authorities: ID no.,3,3,-
E2EDK29,,1,no,no,BANR10,FT-EDI: Declarations to the authorities - ID no. 10,8,8,-
E2EDK29,,1,no,no,WZOCU,Currency of customs values for import procg in foreign trade,5,5,-
E2EDK29,,1,no,no,EXPVZTX,Description,20,20,-
E2EDK29,,1,no,no,ZOLLATX,Description,30,30,-
E2EDK29,,1,no,no,ZOLLBTX,Description,30,30,-
E2EDK29,,1,no,no,Country,Country Name,15,15,-
E2EDK29,,1,no,no,Country,Country Name,15,15,-
E2EDK29,,1,no,no,FREIHTX,Description,20,20,-
E2EDK29,,1,no,no,LADEL,Place of loading/unloading for foreign trade,40,40,-
E2EDK29,,1,no,no,TEXT1,TEXT1 Comments: Text for foreign trade processing,40,40,-
E2EDK29,,1,no,no,TEXT2,TEXT2 Comments: Text for foreign trade processing,40,40,-
E2EDK29,,1,no,no,TEXT3,TEXT3 Comments: Text for foreign trade processing,40,40,-
E2EDK29,,1,no,no,GBNUM,Foreign Trade:Customs declaration list no. for Foreign Trade,20,20,-
E2EDK29,,1,no,no,REGNR,Registration number for import processing in foreign trade,20,20,-
E2EDK29,,1,no,no,AUSFU,Exporter for import processing in foreign trade,10,10,-
E2EDK29,,1,no,no,IEVER_TX,Description,20,20,-
E2EDK29,,1,no,no,LAZL1,Customs office: Country of customs office for foreign trade,3,3,-
E2EDK29,,1,no,no,LAZL2,Customs office: Country of customs office for foreign trade,3,3,-
E2EDK29,,1,no,no,LAZL3,Customs office: Country of customs office for foreign trade,3,3,-
E2EDK29,,1,no,no,LAZL4,Customs office: Country of customs office for foreign trade,3,3,-
E2EDK29,,1,no,no,LAZL5,Customs office: Country of customs office for foreign trade,3,3,-
E2EDK29,,1,no,no,LAZL6,Customs office: Country of customs office for foreign trade,3,3,-
E2EDK29,,1,no,no,AZOLL,Customs office: Export customs office for foreign trade,6,6,-
E2EDK29,,1,no,no,AZOLLTX,Description,30,30,-
E2EDK29,,1,no,no,BFMAR,Foreign Trade: Type of means of transport,6,6,-
E2EDK29,,1,no,no,FTVBD,Association Indicator for Foreign Trade,1,1,-
E2EDK29,,1,no,no,CUDCL,Customs declaration type for customs processing in FT,3,3,-
E2EDK29,,1,no,no,FTUPD,Data service update indicator - Foreign Trade,1,1,-
E2EDKT1,,1,no,yes,landmark,landmark,7,7,-
E2EDKT1,,1,no,no,segnam,Segment,23,23,-
E2EDKT1,,1,no,no,mandt,Client,3,3,-
E2EDKT1,,1,no,no,docnum,IDOC Number,16,16,-
E2EDKT1,,1,no,no,segnum,Segment Number,6,6,-
E2EDKT1,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDKT1,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDKT1,,1,no,no,TDID,Text ID,4,4,-
E2EDKT1,,1,no,no,TSSPRAS,Language Key,3,3,-
E2EDKT1,,1,no,no,TSSPRAS_ISO,2-Character SAP Language Code,2,2,-
E2EDKT1,,1,no,no,TDOBJECT,Texts: Application Object,10,10,-
E2EDKT1,,1,no,no,Name,Name,70,70,-
E2EDKT2,,1,no,yes,landmark,landmark,7,7,-
E2EDKT2,,1,no,no,segnam,Segment,23,23,-
E2EDKT2,,1,no,no,mandt,Client,3,3,-
E2EDKT2,,1,no,no,docnum,IDOC Number,16,16,-
E2EDKT2,,1,no,no,segnum,Segment Number,6,6,-
E2EDKT2,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDKT2,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDKT2,,1,no,no,TDLINE,Text line,70,70,-
E2EDKT2,,1,no,no,TDFORMAT,Tag column,2,2,-
E2EDK14,,1,no,yes,landmark,landmark,7,7,-
E2EDK14,,1,no,no,segnam,Segment,23,23,-
E2EDK14,,1,no,no,mandt,Client,3,3,-
E2EDK14,,1,no,no,docnum,IDOC Number,16,16,-
E2EDK14,,1,no,no,segnum,Segment Number,6,6,-
E2EDK14,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDK14,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDK14,,1,no,no,QUALF,IDOC qualifer organization,3,3,-
E2EDK14,,1,no,no,ORGID,IDOC organization,35,35,-
E2EDP01,,1,no,yes,landmark,landmark,7,7,-
E2EDP01,,1,no,no,segnam,Segment,23,23,-
E2EDP01,,1,no,no,mandt,Client,3,3,-
E2EDP01,,1,no,no,docnum,IDOC Number,16,16,-
E2EDP01,,1,no,no,segnum,Segment Number,6,6,-
E2EDP01,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
E2EDP01,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
E2EDP01,,1,no,no,POSEX,Item number,6,6,-
E2EDP01,,1,no,no,ACTION,Action code for the item,3,3,-
E2EDP01,,1,no,no,PSTYP,Item Category,1,1,-
E2EDP01,,1,no,no,KZABS,Flag: order acknowledgment required,1,1,-
E2EDP01,,1,no,no,MENGE,Quantity,15,15,-
E2EDP01,,1,no,no,MENEE,Unit of measure,3,3,-
E2EDP01,,1,no,no,BMNG2,Quantity in price unit,15,15,-
E2EDP01,,1,no,no,PMENE,Price Unit of Measure,3,3,-
E2EDP01,,1,no,no,ABFTZ,Agreed cumulative quantity,7,7,-
E2EDP01,,1,no,no,VPREI,Price (net),15,15,-
E2EDP01,,1,no,no,PEINH,Price unit,9,9,-
E2EDP01,,1,no,no,NETWR,Item value (net),18,18,-
E2EDP01,,1,no,no,ANETW,Absolute net value of item,18,18,-
E2EDP01,,1,no,no,SKFBP,Amount qualifying for cash discount,18,18,-
E2EDP01,,1,no,no,NTGEW,Net weight,18,18,-
E2EDP01,,1,no,no,GEWEI,Weight unit,3,3,-
E2EDP01,,1,no,no,EINKZ,Flag: More than one schedule line for the item,1,1,-
E2EDP01,,1,no,no,CURCY,Currency,3,3,-
E2EDP01,,1,no,no,PREIS,Gross price,18,18,-
E2EDP01,,1,no,no,MATKL,IDOC material class,9,9,-
E2EDP01,,1,no,no,UEPOS,Higher-Level Item in BOM Structures,6,6,-
E2EDP01,,1,no,no,GRKOR,Delivery group (items delivered together),3,3,-
E2EDP01,,1,no,no,EVERS,Shipping instructions,7,7,-
E2EDP01,,1,no,no,BPUMN,Denominator for Conv. of Order Price Unit into Order Unit,6,6,-
E2EDP01,,1,no,no,BPUMZ,Numerator for Conversion of Order Price Unit into Order Unit,6,6,-
E2EDP01,,1,no,no,ABGRU,Reason for rejection of quotations and sales orders,2,2,-
E2EDP01,,1,no,no,ABGRT,Description,40,40,-
E2EDP01,,1,no,no,ANTLF,Maximum number of partial deliveries allowed per item,1,1,-
E2EDP01,,1,no,no,FIXMG,Delivery date and quantity fixed,1,1,-
E2EDP01,,1,no,no,KZAZU,Order Combination Indicator,1,1,-
E2EDP01,,1,no,no,BRGEW,Total weight,18,18,-
E2EDP01,,1,no,no,PSTYV,Sales document item category,4,4,-
E2EDP01,,1,no,no,EMPST,Receiving point,25,25,-
E2EDP01,,1,no,no,ABTNR,Department number,4,4,-
E2EDP01,,1,no,no,ABRVW,Usage Indicator,3,3,-
E2EDP01,,1,no,no,WERKS,Plant,4,4,-
E2EDP01,,1,no,no,LPRIO,Delivery Priority,2,2,-
E2EDP01,,1,no,no,LPRIO_BEZ,Description,20,20,-
E2EDP01,,1,no,no,ROUTE,Route,6,6,-
E2EDP01,,1,no,no,ROUTE_BEZ,Description,40,40,-
E2EDP01,,1,no,no,LGORT,Storage Location,4,4,-
E2EDP01,,1,no,no,VSTEL,Shipping Point/Receiving Point,4,4,-
E2EDP01,,1,no,no,DELCO,Agreed delivery time,3,3,-
E2EDP01,,1,no,no,MATNR,IDOC material ID,35,35,-
E2EDP01,,1,no,no,VALTG,Additional value days,2,2,-
E2EDP01,,1,no,no,HIPOS,Superior item in an item hierarchy,6,6,-
E2EDP01,,1,no,no,HIEVW,Use of Hierarchy Item,1,1,-
E2EDP01,,1,no,no,POSGUID,ATP: Encryption of DELNR and DELPS,22,22,-
E2EDP01,,1,no,no,MATNR_EXTERNAL,Material Number,40,40,-
E2EDP01,,1,no,no,MATNR_VERSION,Version Number for MATNR Field,10,10,-
E2EDP01,,1,no,no,MATNR_GUID,External GUID for MATNR Field,32,32,-
E2EDP01,,1,no,no,IUID_RELEVANT,IUID-Relevant,1,1,-
ZPOSUOM,,1,no,yes,landmark,landmark,7,7,-
ZPOSUOM,,1,no,no,segnam,Segment,23,23,-
ZPOSUOM,,1,no,no,mandt,Client,3,3,-
ZPOSUOM,,1,no,no,docnum,IDOC Number,16,16,-
ZPOSUOM,,1,no,no,segnum,Segment Number,6,6,-
ZPOSUOM,,1,no,no,psgnum,Number of Superior parent segments,6,6,-
ZPOSUOM,,1,no,no,hlevel,Hierarchy level of SAP segment,2,2,-
