EASST,Easter Island Summer Time,UTC-05
EAST,Easter Island Standard Time,UTC-06
EAT,East Africa Time,UTC+03
ECT,Eastern Caribbean Time (does not recognise DST),UTC-04
ECT,Ecuador Time,UTC-05
EDT,Eastern Daylight Time (North America),UTC-04
EEST,Eastern European Summer Time,UTC+03
EET,Eastern European Time,UTC+02
EGST,Eastern Greenland Summer Time,UTC±00
EGT,Eastern Greenland Time,UTC-01
EST,Eastern Standard Time (North America),UTC-05
ET (EST/EDT),Eastern Time (North America),UTC-05 / UTC-04
FET,Further-eastern European Time,UTC+03
FJT,Fiji Time,UTC+12
FKST,Falkland Islands Summer Time,UTC-03
FKT,Falkland Islands Time,UTC-04
FNT,Fernando de Noronha Time,UTC-02
GALT,Galápagos Time,UTC-06
GAMT,Gambier Islands Time,UTC-09
GET,Georgia Standard Time,UTC+04
GFT,French Guiana Time,UTC-03
GILT,Gilbert Island Time,UTC+12
GIT,Gambier Island Time,UTC-09
GMT,Greenwich Mean Time,UTC±00
GST,South Georgia and the South Sandwich Islands Time,UTC-02
GST,Gulf Standard Time,UTC+04
GYT,Guyana Time,UTC-04
HDT,Hawaii–Aleutian Daylight Time,UTC-09
HAEC,Heure Avancée d'Europe Centrale French-language name for CEST,UTC+02
HST,Hawaii–Aleutian Standard Time,UTC-10
HKT,Hong Kong Time,UTC+08
HMT,Heard and McDonald Islands Time,UTC+05
HOVST,Hovd Summer Time (not used from 2017-present),UTC+08
HOVT,Hovd Time,UTC+07
ICT,Indochina Time,UTC+07
IDLW,International Date Line West time zone,UTC-12
IDT,Israel Daylight Time,UTC+03
IOT,Indian Ocean Time,UTC+03
IRDT,Iran Daylight Time,UTC+04:30
IRKT,Irkutsk Time,UTC+08
IRST,Iran Standard Time,UTC+03:30
IST,Indian Standard Time,UTC+05:30
IST,Irish Standard Time[8],UTC+01
IST,Israel Standard Time,UTC+02
JST,Japan Standard Time,UTC+09
KALT,Kaliningrad Time,UTC+02
KGT,Kyrgyzstan Time,UTC+06
KOST,Kosrae Time,UTC+11
KRAT,Krasnoyarsk Time,UTC+07
KST,Korea Standard Time,UTC+09
LHST,Lord Howe Standard Time,UTC+10:30
LHST,Lord Howe Summer Time,UTC+11
LINT,Line Islands Time,UTC+14
MAGT,Magadan Time,UTC+12
MART,Marquesas Islands Time,UTC-09:30
MAWT,Mawson Station Time,UTC+05
MDT,Mountain Daylight Time (North America),UTC-06
MET,Middle European Time (same zone as CET),UTC+01
MEST,Middle European Summer Time (same zone as CEST),UTC+02
MHT,Marshall Islands Time,UTC+12
MIST,Macquarie Island Station Time,UTC+11
MIT,Marquesas Islands Time,UTC-09:30
MMT,Myanmar Standard Time,UTC+06:30
MSK,Moscow Time,UTC+03
MST,Malaysia Standard Time,UTC+08
MST,Mountain Standard Time (North America),UTC-07
MUT,Mauritius Time,UTC+04
MVT,Maldives Time,UTC+05
MYT,Malaysia Time,UTC+08
NCT,New Caledonia Time,UTC+11
NDT,Newfoundland Daylight Time,UTC-02:30
NFT,Norfolk Island Time,UTC+11
NOVT,Novosibirsk Time [9],UTC+07
NPT,Nepal Time,UTC+05:45
NST,Newfoundland Standard Time,UTC-03:30
NT,Newfoundland Time,UTC-03:30
NUT,Niue Time,UTC-11
NZDT,New Zealand Daylight Time,UTC+13
NZST,New Zealand Standard Time,UTC+12
OMST,Omsk Time,UTC+06
ORAT,Oral Time,UTC+05
PDT,Pacific Daylight Time (North America),UTC-07
PET,Peru Time,UTC-05
PETT,Kamchatka Time,UTC+12
PGT,Papua New Guinea Time,UTC+10
PHOT,Phoenix Island Time,UTC+13
PHT,Philippine Time,UTC+08
PHST,Philippine Standard Time,UTC+08
PKT,Pakistan Standard Time,UTC+05
PMDT,Saint Pierre and Miquelon Daylight Time,UTC-02
PMST,Saint Pierre and Miquelon Standard Time,UTC-03
PONT,Pohnpei Standard Time,UTC+11
PST,Pacific Standard Time (North America),UTC-08
PWT,Palau Time[10],UTC+09
PYST,Paraguay Summer Time[11],UTC-03
PYT,Paraguay Time[12],UTC-04
RET,Réunion Time,UTC+04
ROTT,Rothera Research Station Time,UTC-03
SAKT,Sakhalin Island Time,UTC+11
SAMT,Samara Time,UTC+04
SAST,South African Standard Time,UTC+02
SBT,Solomon Islands Time,UTC+11
SCT,Seychelles Time,UTC+04
SDT,Samoa Daylight Time,UTC-10
SGT,Singapore Time,UTC+08
SLST,Sri Lanka Standard Time,UTC+05:30
SRET,Srednekolymsk Time,UTC+11
SRT,Suriname Time,UTC-03
SST,Samoa Standard Time,UTC-11
SST,Singapore Standard Time,UTC+08
SYOT,Showa Station Time,UTC+03
TAHT,Tahiti Time,UTC-10
THA,Thailand Standard Time,UTC+07
TFT,French Southern and Antarctic Time[13],UTC+05
TJT,Tajikistan Time,UTC+05
TKT,Tokelau Time,UTC+13
TLT,Timor Leste Time,UTC+09
TMT,Turkmenistan Time,UTC+05
TRT,Turkey Time,UTC+03
TOT,Tonga Time,UTC+13
TST,Taiwan Standard Time,UTC+08
TVT,Tuvalu Time,UTC+12
ULAST,Ulaanbaatar Summer Time,UTC+09
ULAT,Ulaanbaatar Standard Time,UTC+08
UTC,Coordinated Universal Time,UTC±00
UYST,Uruguay Summer Time,UTC-02
UYT,Uruguay Standard Time,UTC-03
UZT,Uzbekistan Time,UTC+05
VET,Venezuelan Standard Time,UTC-04
VLAT,Vladivostok Time,UTC+10
VOLT,Volgograd Time,UTC+03
VOST,Vostok Station Time,UTC+06
VUT,Vanuatu Time,UTC+11
WAKT,Wake Island Time,UTC+12
WAST,West Africa Summer Time,UTC+02
WAT,West Africa Time,UTC+01
WEST,Western European Summer Time,UTC+01
WET,Western European Time,UTC±00
WIB,Western Indonesian Time,UTC+07
WIT,Eastern Indonesian Time,UTC+09
WITA,Central Indonesia Time,UTC+08
WGST,West Greenland Summer Time[14],UTC-02
WGT,West Greenland Time[15],UTC-03
WST,Western Standard Time,UTC+08
YAKT,Yakutsk Time,UTC+09
YEKT,Yekaterinburg Time,UTC+05
